N;K;peaks;maxValue;minValue
22;5;1794;0.812477;0.21749
22;5;1763;0.772108;0.210798
22;5;1649;0.758474;0.204631
22;5;1530;0.771821;0.185163
22;5;1462;0.795993;0.190679
22;5;1905;0.775724;0.234323
22;5;1568;0.775024;0.219606
22;5;1596;0.781193;0.194443
22;5;1688;0.782358;0.222601
22;5;1449;0.793362;0.22027
22;5;1728;0.814683;0.21118
22;5;1813;0.776352;0.206884
22;5;1634;0.81852;0.223453
22;5;1501;0.798247;0.216417
22;5;1798;0.771151;0.196152
22;5;1448;0.79567;0.221693
22;5;1453;0.791545;0.210991
22;5;1852;0.770337;0.194392
22;5;1445;0.767325;0.231873
22;5;1538;0.792085;0.206383
22;5;1308;0.800877;0.233414
22;5;1573;0.789289;0.211808
22;5;1407;0.768702;0.209107
22;5;1585;0.797327;0.225158
22;5;1950;0.791201;0.214175
22;5;1647;0.789955;0.221688
22;5;1480;0.812187;0.226317
22;5;1867;0.791075;0.194556
22;5;1625;0.765242;0.219534
22;5;1560;0.779751;0.209806
22;5;1904;0.771775;0.220124
22;5;1529;0.807047;0.215503
22;5;1543;0.781461;0.199759
22;5;1718;0.817123;0.229675
22;5;1536;0.812412;0.18593
22;5;1328;0.796506;0.20534
22;5;1824;0.763266;0.212756
22;5;1826;0.801977;0.207015
22;5;1404;0.77849;0.241986
22;5;1940;0.775215;0.198621
22;5;1539;0.793028;0.235435
22;5;1440;0.76384;0.186149
22;5;1735;0.785139;0.234478
22;5;1659;0.784144;0.182854
22;5;1838;0.785654;0.218001
22;5;1457;0.782371;0.215226
22;5;2036;0.837871;0.192658
22;5;1635;0.778142;0.191775
22;5;1427;0.784111;0.219562
22;5;1522;0.780676;0.210087
22;5;1582;0.771228;0.191024
22;5;1861;0.771751;0.217397
22;5;1918;0.773072;0.20217
22;5;1635;0.771206;0.196159
22;5;1522;0.779905;0.201086
22;5;1726;0.791743;0.230473
22;5;1616;0.769656;0.231552
22;5;1449;0.773843;0.204446
22;5;1542;0.782408;0.199601
22;5;1351;0.828056;0.203082
22;5;1298;0.808278;0.215406
22;5;1469;0.794845;0.210244
22;5;1598;0.791683;0.229139
